ds,Autoformer
2024-02-01,-0.023147583
2024-03-01,-0.8828155
2024-04-01,4.9346166
2024-05-01,1.317355
2024-06-01,-0.5255027
2024-07-01,-0.38431978
2024-08-01,-0.5356066
2024-09-01,1.0410786
2024-10-01,1.3688418
2024-11-01,0.30886823
2024-12-01,1.0958047
2025-01-01,1.1038305
2025-02-01,1.0493907
2025-03-01,1.6384084
2025-04-01,0.9737298
2025-05-01,1.5507252
2025-06-01,2.8297153
2025-07-01,1.119132
2025-08-01,1.1376295
2025-09-01,0.75315756
2025-10-01,1.7667729
2025-11-01,0.97134435
2025-12-01,0.91212493
