ds,Autoformer
2024-02-01,0.4906711
2024-03-01,0.35990185
2024-04-01,1.1666963
2024-05-01,0.23827824
2024-06-01,0.23714238
2024-07-01,0.11679153
2024-08-01,0.22306046
2024-09-01,0.22238831
2024-10-01,0.38331544
2024-11-01,0.6589216
2024-12-01,1.1555581
2025-01-01,1.0952969
2025-02-01,0.54525363
2025-03-01,0.5701372
2025-04-01,0.8333126
2025-05-01,0.90525544
2025-06-01,0.39080215
2025-07-01,0.20721191
2025-08-01,0.41315576
2025-09-01,0.04596941
2025-10-01,-0.17734343
2025-11-01,0.36715728
2025-12-01,0.50166965
