ds,PatchTST
2024-02-01,-0.0016949469
2024-03-01,-0.0012131261
2024-04-01,-0.0014333539
2024-05-01,-0.0015540172
2024-06-01,-0.0014903009
2024-07-01,-0.0003802741
2024-08-01,-0.0015189347
2024-09-01,-0.0002808196
2024-10-01,-0.001032985
2024-11-01,-0.00021404879
2024-12-01,-0.0010836561
2025-01-01,-0.00079513417
2025-02-01,-0.000929825
2025-03-01,-5.2705076e-05
2025-04-01,-0.0003737091
2025-05-01,0.0006819272
2025-06-01,-0.0013970807
2025-07-01,-0.0017219824
2025-08-01,-0.0010956506
2025-09-01,-0.00017290417
2025-10-01,-0.00040054257
2025-11-01,-0.0013422426
2025-12-01,-0.001682526
