ds,TimeLLM
2024-02-01,0.55258054
2024-03-01,0.7380502
2024-04-01,0.30256605
2024-05-01,0.17173311
2024-06-01,0.49402457
2024-07-01,0.5695312
2024-08-01,0.12925428
2024-09-01,0.55435854
2024-10-01,0.19160542
2024-11-01,0.5439299
2024-12-01,0.5921763
2025-01-01,0.4855991
2025-02-01,0.7751243
2025-03-01,0.56273824
2025-04-01,0.08642155
2025-05-01,0.67048293
2025-06-01,0.5162965
2025-07-01,0.83919424
2025-08-01,0.26599678
2025-09-01,0.0010849833
2025-10-01,0.65410614
2025-11-01,0.062763095
2025-12-01,0.059509933
