ds,ARIMA,Prophet,DLinear,NLinear,TCN,LSTM,Autoformer,PatchTST,TimeLLM
2024-02-01,1.1944,0.67087,0.36465,1.84946,1.12727,0.99633,-0.02315,-0.19995,0.55258
2024-03-01,1.1944,1.5172,0.79592,2.06032,1.18486,0.99807,-0.88282,1.09916,0.73805
2024-04-01,1.1944,1.36227,0.20173,1.05165,1.0391,1.00907,4.93462,0.49803,0.30257
2024-05-01,1.1944,1.01831,0.59649,1.31662,1.25464,1.0017,1.31736,0.75164,0.17173
2024-06-01,1.1944,1.25003,0.26605,1.10704,1.08762,0.99902,-0.5255,0.38949,0.49402
2024-07-01,1.1944,2.84431,1.94628,2.3124,1.3354,0.99972,-0.38432,1.35748,0.56953
2024-08-01,1.1944,1.15819,1.34152,1.1219,1.33528,0.99792,-0.53561,0.8166,0.12925
2024-09-01,1.1944,1.87897,1.27189,1.56618,1.43242,1.00207,1.04108,0.61043,0.55436
2024-10-01,1.1944,1.29523,0.96434,2.72507,1.36966,0.99734,1.36884,0.421,0.19161
2024-11-01,1.1944,1.04867,0.8372,1.49957,1.58327,0.99201,0.30887,0.80643,0.54393
2024-12-01,1.1944,1.58849,1.02662,1.11475,1.4241,0.99545,1.0958,-0.06633,0.59218
2025-01-01,1.1944,1.38711,1.6898,1.66668,1.57224,1.00483,1.10383,0.0469,0.4856
2025-02-01,1.1944,0.65646,0.72366,2.46014,1.38818,0.99052,1.04939,0.71756,0.77512
2025-03-01,1.1944,1.4823,1.18343,1.05858,1.40001,1.0007,1.63841,0.42999,0.56274
2025-04-01,1.1944,1.25518,2.11513,1.48984,1.79261,1.00025,0.97373,1.16782,0.08642
2025-05-01,1.1944,0.95257,1.4243,1.3847,1.71212,0.99877,1.55073,0.03838,0.67048
2025-06-01,1.1944,1.15993,2.02347,2.0903,1.73098,0.99738,2.82972,-0.02995,0.5163
2025-07-01,1.1944,2.80837,2.38915,2.16547,1.63058,0.99805,1.11913,0.38132,0.83919
2025-08-01,1.1944,1.08725,1.11858,0.69355,1.66837,0.99632,1.13763,0.32247,0.266
2025-09-01,1.1944,1.81965,0.80911,1.75247,1.68673,0.99973,0.75316,0.18419,0.00108
2025-10-01,1.1944,1.22759,0.94702,2.95104,1.68918,0.99995,1.76677,0.84369,0.65411
2025-11-01,1.1944,0.96643,2.27669,1.84232,1.6518,1.00186,0.97134,0.12393,0.06276
2025-12-01,1.1944,1.49463,1.26963,2.05935,1.63253,1.0124,0.91212,-0.28112,0.05951
