ds,ARIMA,Prophet,DLinear,NLinear,TCN,LSTM,Autoformer,PatchTST,TimeLLM
2024-02-01,0.64673,2.61662,0.01172,0.13402,0.53859,0.70266,0.49067,-0.00169,-0.00072
2024-03-01,0.52977,1.95283,-0.16425,0.10967,0.5598,0.61003,0.3599,-0.00121,-0.00099
2024-04-01,0.64673,3.52414,0.25681,-0.06539,0.71985,0.29731,1.1667,-0.00143,-0.00183
2024-05-01,0.64673,2.031,0.13006,-0.02798,0.70771,0.09135,0.23828,-0.00155,-0.00169
2024-06-01,0.52977,2.27159,-0.09013,0.07299,0.75902,0.43631,0.23714,-0.00149,-0.00064
2024-07-01,0.52977,2.44678,0.48648,0.12751,0.71964,0.08931,0.11679,-0.00038,-0.00069
2024-08-01,0.64673,2.67252,0.20597,0.05482,0.72701,0.03081,0.22306,-0.00152,-0.00192
2024-09-01,0.64673,2.09506,-0.00647,0.0893,0.98919,0.00063,0.22239,-0.00028,-0.00099
2024-10-01,0.64673,2.68843,0.25357,0.20646,0.74267,0.21527,0.38332,-0.00103,-0.00124
2024-11-01,0.64673,2.08931,0.51306,0.12297,0.90953,0.22562,0.65892,-0.00021,-0.00116
2024-12-01,0.64673,1.87591,-0.04798,0.18386,0.67891,0.28902,1.15556,-0.00108,-0.00075
2025-01-01,0.64673,2.34248,0.24981,0.13647,0.78223,0.24206,1.0953,-0.0008,-0.00105
2025-02-01,0.57109,2.68125,0.37467,-0.07095,0.79623,0.06796,0.54525,-0.00093,-0.00054
2025-03-01,0.58477,2.04713,0.22822,-0.13814,0.7491,0.19988,0.57014,-5e-05,-0.00087
2025-04-01,0.57109,3.61941,0.39772,0.23161,0.90865,0.18197,0.83331,-0.00037,-0.00162
2025-05-01,0.57109,2.11501,0.42655,0.22342,0.87357,0.32319,0.90526,0.00068,-0.00059
2025-06-01,0.58477,2.36774,0.79907,0.19315,0.7423,0.30865,0.3908,-0.0014,-0.00067
2025-07-01,0.58477,2.56146,0.45846,0.12547,0.85012,0.29404,0.20721,-0.00172,4e-05
2025-08-01,0.57109,2.77071,0.25508,0.23714,0.81003,0.58296,0.41316,-0.0011,-0.00073
2025-09-01,0.57109,2.19834,0.15473,0.20215,0.878,0.54109,0.04597,-0.00017,-0.00125
2025-10-01,0.57109,2.77622,0.25913,0.28127,0.74971,0.65263,-0.17734,-0.0004,0.00018
2025-11-01,0.57109,2.17841,0.66309,-0.03696,0.87856,1.18528,0.36716,-0.00134,-0.00157
2025-12-01,0.57109,1.97435,0.19395,0.23688,0.70299,1.32867,0.50167,-0.00168,-0.00135
